address,price,floor_size,bathrooms,bedrooms,est_mortgage,zprice,latitude,longitude,FACTS,FEATURES,APPLIANCES INCLUDED,ROOM TYPES,CONSTRUCTION,ADDITIONAL FEATURES,OTHER
"14235 231st St,
Laurelton, NY 11413","$485,000","1,750 sqft",3 baths,3 beds,"$1,821","$283,193",40664330,-73745255,,,,,,,
"304 Shore Rd,
Douglaston, NY 11363","$3,888,000","3,952 sqft",4 baths,6 beds,"$14,807","$2,273,589",40776006,-73754331,,,,,,,
"13720 157th St,
Jamaica, NY 11434","$699,000","2,250 sqft",3 baths,6 beds,"$2,652","$658,713",40669325,-73778410,,,,,,,
"6223 65th St,
Flushing, NY 11379","$699,000","1,018 sqft",1 bath,2 beds,"$2,652",,40714055,-73896590,,,,,,,
"10244 Nicolls Ave,
Flushing, NY 11368","$1,268,888","2,376 sqft",3 baths,6 beds,"$4,832","$1,123,735",40744635,-73860085,,,,,,,
"820 Dean Ave,
Bronx, NY 10465","$1,100,000","2,260 sqft",4 baths,4 beds,"$4,189","$877,599",40832430,-73815855,,,,,,,
"11741 195th St,
Jamaica, NY 11412","$469,000","1,296 sqft",3 baths,3 beds,"$1,761",(7/20),40692139,-73756075,,,,,,,
"31 Nagle Ave APT 6K,
New York, NY 10040","$525,000",-- sqft,1 bath,2 beds,"$1,971",,40859378,-73929656,,,,,,,
"268 Saint James Pl,
Brooklyn, NY 11238","$2,700,000","2,130 sqft",3 baths,9 beds,"$10,282","$2,530,453",40682245,-73963860,,,,,,,
"1160 Union St,
Brooklyn, NY 11225","$2,199,000","2,580 sqft",4 baths,5 beds,"$8,374","$1,866,883",40668859,-73953000,,,,,,,
